"wis","wwis","c","sdi","n","e","fqi","loc"
3.11214285714286,3.34455252918288,3.27346041055718,0.928464063921522,29,7,18.8438564763758,"af3"
3.03263888888889,3.4406162464986,3.32344276094276,0.911559619057287,33,7,20.8273365190025,"bs1"
3.19166666666667,3.36572164948454,3.28219696969697,0.924570419406677,18,9,15.4724248964178,"op2"
3.04583333333333,3.00923344947735,3.21363636363636,0.949313818280151,36,10,18.7462121212121,"pd2"
3.42954545454545,3.56005747126437,3.24568263277941,0.901218842250783,30,3,18.3699137889191,"r3"
3.07767857142857,3.17216257668712,3.94349747474747,0.897337448206131,23,5,19.7346255667806,"sem4"
3.43482142857143,3.24175749318801,3.7671277997365,0.932021918638418,22,8,18.47254994666,"swm1"
3.23916666666667,3.08394736842105,3.82575757575758,0.907150256783266,24,7,19.5232373754025,"swm2"
2.30576923076923,2.35399305555556,4.15214646464646,0.95300875171005,35,5,25.2662706061339,"bin4"
3.25564516129032,3.15948553054662,4.42045454545455,0.930950090538705,27,7,22.9693555958282,"cav1"
3.55065789473684,3.65375399361022,3.2568870523416,0.942306292314786,31,12,19.3034880291959,"cav3"
3.08920454545455,3.05201612903226,3.60749385749386,0.959641444322868,34,12,22.8911634214081,"bin2"
3.02890625,3.44604105571847,4.09909090909091,0.938978682766335,25,10,20.4954545454545,"cwr1"
3.83448275862069,3.81575342465753,3.16964285714286,0.928609495214862,22,9,14.1911726824203,"cwr2"
3.66666666666667,3.83480825958702,3.08152173913043,0.8885498046875,21,6,15.466192970476,"de1"
3.15887096774194,2.898046875,3.71066433566434,0.92501953125,24,8,19.6933408297625,"de2"
3.45092592592593,3.65692771084337,2.94349747474747,0.891336778730886,22,10,15.0613384849702,"jt2"
2.82767857142857,3.10285714285714,4.0247668997669,0.898183141569385,25,3,20.9287878787879,"mt1"
3.64264705882353,3.8335685483871,3.69848484848485,0.712397959183673,14,4,14.8269248070052,"mt2"
3.2725,3.171640625,3.72364953886693,0.930532511769431,22,9,18.2593492303044,"npe"
3.14910714285714,2.99019292604502,3.40183080808081,0.909851219996032,22,7,17.4065463648819,"npw"
3.0109375,4.16540948275862,3.97261072261072,0.772067093745415,13,4,14.323451657831,"vor"
2.9625,2.95885416666667,3.77626262626263,0.906911670742724,14,9,15.1387295892363,"vou"
3.075,2.79409090909091,3.90183080808081,0.932196565186184,23,6,19.5261111527235,"wm1"
3.03619402985075,2.69918952618454,3.27490224828935,0.965817732051498,57,13,26.8938267633226,"sw1"
3.30815217391304,3.27121896162528,3.46233164983165,0.954037497351882,35,12,21.0686711409822,"af2"
2.30639534883721,1.69417040358744,3.89693181818182,0.927422733438139,37,7,25.6260657802846,"bin1"
2.88357142857143,2.7224375,4.32741477272727,0.930507350332423,32,5,24.4795546464184,"bin3"
3.15265957446808,3.27006802721088,3.36609848484848,0.945533136562314,40,10,21.289076081126,"bin5"
2.9078431372549,2.85956989247312,3.21307519640853,0.963402740095261,43,10,22.0495218220554,"bin6"
3.13486842105263,3.05300751879699,3.55666035353535,0.949538940779064,36,6,21.3399621212121,"cav2"
2.70434,2.69539557739558,3.37441724941725,0.959249382716049,36,15,21.9337121212121,"dw1"
2.29196428571429,2.15325278810409,3.62017906336088,0.913950295857988,21,7,17.3797324246287,"ep2"
3.92307692307692,3.82083333333333,3.36363636363636,0.91503617105705,22,7,15.7768530103152,"ht1"
2.43897058823529,2.1333904109589,3.75733137829912,0.924696492333543,29,7,21.6292865490316,"jt1"
3.02720588235294,3.24603174603175,3.44383741258741,0.942264569641763,25,12,17.9079545454545,"ph"
4,3.96108949416342,2.95238095238095,0.862167879809244,17,5,15.0372087522526,"pr1"
3.055,3.0754746835443,3.52792207792208,0.93595567867036,34,8,21.176177569983,"spi1"
2.66474358974359,3.05514527845036,3.07741477272727,0.948036781415706,28,11,18.6104552448748,"urep"
2.71160714285714,2.14605263157895,3.49891774891775,0.922841391801853,19,9,16.8568424455347,"ursp1"
3.24277777777778,3.4615671641791,3.26325757575758,0.953168788490287,34,15,20.1471860591279,"ype"
3.75,4.35897435897436,3.4,0.737804603396243,10,2,10.7517440445725,"yps"
2.79375,2.35204545454545,3.69935064935065,0.931210532776265,34,11,22.205169080838,"nem2"
3.21416666666667,3.14707661290323,4.36120580808081,0.937564505535748,23,10,21.8249825677027,"phm"
